,SAMPLE_ID,Q12,Q18,Q24,Q26_001,Q40_001_UNIT1,Q40_001_UNIT2,Q66
3220,30318001.0,1.0,4.0,4.0,10.0,99.0,-1.0,2.0
3221,30318006.0,1.0,99.0,2.0,99.0,10.0,-1.0,2.0
3222,30318081.0,1.0,10.0,-1.0,99.0,99.0,-1.0,2.0
3223,30318136.0,1.0,44.0,-1.0,5.0,11.0,-1.0,2.0
3224,30318186.0,1.0,15.0,15.0,99.0,1.0,-1.0,2.0
3225,30318211.0,1.0,7.0,7.0,99.0,5.0,-1.0,2.0
3226,30318216.0,1.0,15.0,15.0,10.0,4.0,-1.0,2.0
3227,30318226.0,1.0,15.0,15.0,1.0,20.0,-1.0,3.0
3228,30318271.0,99.0,1.0,1.0,25.0,1.0,12.0,6.0
3229,30318316.0,1.0,5.0,5.0,2.0,10.0,-1.0,1.0
3230,30318346.0,1.0,10.0,-1.0,7.0,10.0,-1.0,2.0
3231,30318356.0,1.0,3.0,3.0,6.0,5.0,-1.0,2.0
3232,30318386.0,1.0,4.0,4.0,5.0,4.0,-1.0,1.0
3233,30318436.0,1.0,1.0,1.0,1.0,1.0,-1.0,3.0
3234,30318441.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0
3235,30318451.0,1.0,4.0,-1.0,5.0,3.0,4.0,1.0
3236,30318461.0,1.0,22.0,3.0,20.0,20.0,-1.0,1.0
3237,30318466.0,1.0,6.0,6.0,10.0,8.0,-1.0,1.0
3238,30318471.0,1.0,2.0,2.0,10.0,10.0,-1.0,1.0
3239,30318476.0,1.0,8.0,8.0,8.0,8.0,-1.0,2.0
3240,30318486.0,1.0,3.0,-1.0,99.0,10.0,-1.0,1.0
3241,30318491.0,1.0,7.0,-1.0,7.0,7.0,-1.0,3.0
3242,30318501.0,1.0,8.0,8.0,10.0,8.0,-1.0,2.0
3243,30318511.0,1.0,99.0,-1.0,99.0,4.0,-1.0,1.0
3244,30318516.0,1.0,7.0,7.0,8.0,7.0,-1.0,1.0
3245,30318521.0,1.0,5.0,5.0,6.0,2.0,-1.0,2.0
3246,30318531.0,1.0,16.0,16.0,99.0,99.0,99.0,1.0
3247,30318546.0,1.0,10.0,-1.0,99.0,13.0,-1.0,1.0
3248,30318571.0,1.0,1.0,1.0,10.0,99.0,-1.0,2.0
3249,30318616.0,1.0,2.0,2.0,1.0,10.0,-1.0,1.0
3250,30318631.0,1.0,99.0,99.0,99.0,-1.0,-1.0,1.0
3251,30318641.0,1.0,4.0,4.0,10.0,10.0,-1.0,1.0
3252,30318676.0,1.0,16.0,6.0,16.0,2.0,-1.0,2.0
3253,30318681.0,1.0,2.0,2.0,12.0,10.0,-1.0,1.0
3254,30318706.0,1.0,10.0,10.0,15.0,15.0,-1.0,1.0
3255,30318716.0,1.0,1.0,1.0,15.0,1.0,-1.0,1.0
3256,30318726.0,3.0,12.0,-1.0,15.0,15.0,-1.0,1.0
3257,30318766.0,1.0,2.0,-1.0,10.0,20.0,-1.0,1.0
3258,30318791.0,1.0,32.0,32.0,32.0,32.0,-1.0,1.0
3259,30318841.0,1.0,99.0,-1.0,99.0,9.0,-1.0,1.0
3260,30318846.0,1.0,5.0,-1.0,3.0,5.0,-1.0,1.0
3261,30318871.0,1.0,6.0,6.0,2.0,8.0,-1.0,2.0
3262,30318886.0,1.0,17.0,-1.0,17.0,10.0,-1.0,2.0
3263,30318901.0,1.0,3.0,-1.0,2.0,14.0,3.0,4.0
3264,30318921.0,1.0,11.0,11.0,2.0,11.0,-1.0,2.0
3265,30318926.0,1.0,3.0,-1.0,15.0,15.0,-1.0,2.0
3266,30318961.0,1.0,15.0,15.0,15.0,5.0,-1.0,4.0
3267,30318986.0,1.0,6.0,6.0,6.0,6.0,10.0,4.0
3268,30319001.0,1.0,2.0,2.0,15.0,4.0,-1.0,4.0
3269,30319006.0,1.0,6.0,6.0,26.0,6.0,-1.0,2.0
3270,30319016.0,1.0,22.0,22.0,9.0,15.0,-1.0,1.0
3271,30319026.0,1.0,5.0,5.0,1.0,7.0,20.0,3.0
3272,30319031.0,1.0,99.0,-1.0,10.0,10.0,-1.0,2.0
3273,30319046.0,1.0,12.0,12.0,15.0,15.0,-1.0,6.0
3274,30319071.0,1.0,3.0,3.0,10.0,13.0,-1.0,5.0
3275,30319096.0,1.0,6.0,-1.0,99.0,15.0,-1.0,1.0
3276,30319111.0,1.0,12.0,12.0,12.0,5.0,5.0,5.0
3277,30319186.0,1.0,10.0,99.0,8.0,5.0,-1.0,3.0
3278,30319191.0,1.0,5.0,5.0,11.0,11.0,-1.0,6.0
3279,30319196.0,1.0,3.0,3.0,11.0,12.0,6.0,6.0
3280,30319211.0,1.0,10.0,10.0,10.0,17.0,-1.0,2.0
3281,30319311.0,1.0,10.0,10.0,10.0,10.0,-1.0,2.0
3282,30319316.0,1.0,5.0,5.0,5.0,5.0,8.0,4.0
3283,30319331.0,1.0,17.0,-1.0,1.0,17.0,-1.0,2.0
3284,30319336.0,1.0,1.0,1.0,10.0,99.0,99.0,2.0
3285,30319356.0,1.0,7.0,7.0,7.0,2.0,-1.0,6.0
3286,30319361.0,1.0,12.0,12.0,1.0,3.0,1.0,6.0
3287,30319371.0,1.0,15.0,-1.0,2.0,-1.0,-1.0,2.0
3288,30319386.0,1.0,6.0,6.0,6.0,3.0,-1.0,1.0
3289,30319411.0,1.0,2.0,2.0,3.0,9.0,10.0,2.0
3290,30319426.0,1.0,5.0,5.0,5.0,5.0,-1.0,4.0
3291,30319451.0,1.0,2.0,2.0,1.0,5.0,-1.0,3.0
3292,30319486.0,1.0,3.0,3.0,99.0,4.0,-1.0,4.0
3293,30319511.0,1.0,4.0,6.0,2.0,6.0,2.0,6.0
3294,30319536.0,1.0,6.0,6.0,4.0,5.0,-1.0,4.0
3295,30319556.0,1.0,10.0,10.0,10.0,10.0,-1.0,3.0
3296,30319566.0,1.0,6.0,6.0,12.0,3.0,-1.0,4.0
3297,30319581.0,1.0,7.0,7.0,7.0,7.0,-1.0,2.0
3298,30319596.0,1.0,9.0,4.0,16.0,2.0,16.0,5.0
3299,30319606.0,1.0,35.0,35.0,35.0,-1.0,-1.0,2.0
3300,30319621.0,1.0,23.0,23.0,2.0,5.0,-1.0,3.0
